name,url,category
JADE,https://www.jadeworld.com/,Programming Language
Join Java,http://join.inria.fr/,Programming Language
Julia,https://julialang.org/,Programming Language
Jython,https://www.jython.org/,Programming Language
Karel,https://xkarel.sourceforge.net/,Programming Language
KiXtart,http://www.kixtart.org/,Programming Language
Kodu,http://kodugamelab.com,Programming Language
KornShell,http://kornshell.com,Programming Language
Kotlin,https://kotlinlang.org/,Programming Language
Kv (Kivy),https://kivy.org/,Programming Language
LANSA,https://lansa.com/,Programming Language
Lasso,http://www.lassosoft.com,Programming Language
Lean,http://lean-lang.org,Programming Language
LilyPond,https://lilypond.org,Programming Language
LiveCode,http://livecode.org,Programming Language
LiveScript,https://livescript.net,Programming Language
Logtalk,https://logtalk.org,Programming Language
Lua,https://www.lua.org/,Programming Language
Lua (programming language),https://www.lua.org/,Programming Language
Magma,http://magma.maths.usyd.edu.au,Programming Language
Maple,https://www.maplesoft.com/products/maple/,Programming Language
MASM Microsoft Assembly x86,https://docs.microsoft.com/en-us/cpp/assembler/masm/microsoft-macro-assembler-reference,Programming Language
Maude system,http://maude.cs.uiuc.edu/,Programming Language
Maxima,https://maxima.sourceforge.io/,Programming Language
Mercury,http://www.mercurylang.org,Programming Language
MHEG-5 (Interactive TV programming language),http://www.mheg.org,Programming Language
Microsoft Power Fx,https://docs.microsoft.com/en-us/power-platform/power-fx/overview,Programming Language
Mirah,https://mirah.org/,Programming Language
Miranda,http://miranda.org.uk,Programming Language
MIVA Script,http://www.mivascript.com,Programming Language
Modelica,https://www.modelica.org/,Programming Language
Modula-2,http://www.modula2.org,Programming Language
Modula-3,http://www.modula3.org,Programming Language
MOO,https://www.moo.mud.org/,Programming Language
Mystic Programming Language,http://www.mysticbbs.com,Programming Language
NASM,https://www.nasm.us/,Programming Language
Neko,http://nekovm.org/doc/vm,Programming Language
Nemerle,http://nemerle.org,Programming Language
NetLogo,http://www.netlogo.org,Programming Language
NetRexx,https://www.netrexx.org/,Programming Language
NewLISP,http://www.newlisp.org,Programming Language
Newspeak,http://newspeaklanguage.org,Programming Language
Nial,https://www.nial-array-language.org/,Programming Language
Nim,http://nim-lang.org,Programming Language
Nix,https://nixos.org,Programming Language
o:XML,http://www.o-xml.org,Programming Language
Oberon,https://projectoberon.net,Programming Language
Object REXX,https://www.rexxla.org/,Programming Language
OCaml,https://ocaml.org/,Programming Language
Odin,https://odin-lang.org/,Programming Language
Opa,http://opalang.org,Programming Language
OpenGL Shading Language,https://www.opengl.org/,Programming Language
OpenQASM,https://openqasm.com/,Programming Language
Orc,https://orc.csres.utexas.edu/,Programming Language
ParaSail,http://parasail-lang.org,Programming Language
PARI/GP,http://pari.math.u-bordeaux.fr/,Programming Language
Pascal Script,http://wiki.freepascal.org/Pascal_Script/License,Programming Language
PDL,https://pdl.perl.org/,Programming Language
Perl,https://www.perl.org/,Programming Language
Pharo,https://pharo.org/,Programming Language
PHP,https://www.php.net/,Programming Language
Pico,http://pico.vub.ac.be,Programming Language
Picolisp,http://picolisp.com,Programming Language
Pike,https://pike.lysator.liu.se/,Programming Language
PILOT,https://rpilot.sourceforge.net/pilot.html,Programming Language
Pizza,http://pizzacompiler.sourceforge.net,Programming Language
Pony,http://www.ponylang.org,Programming Language
POV-Ray SDL,https://www.povray.org/,Programming Language
Processing,https://processing.org/,Programming Language
Processing.js,https://processing.org/,Programming Language
Pure Data,https://puredata.info/,Programming Language
PureScript,https://www.purescript.org/,Programming Language
Python,https://www.python.org/,Programming Language
Raku,https://raku.org/,Programming Language
Reason,https://reasonml.github.io/,Programming Language
REBOL,http://www.rebol.com,Programming Language
Red,https://www.red-lang.org/,Programming Language
REFAL,http://www.refal.net,Programming Language
ReScript,https://rescript-lang.org/,Programming Language
Rocq,https://rocq-prover.org,Programming Language
Ruby,https://www.ruby-lang.org/,Programming Language
Rust,https://www.rust-lang.org/,Programming Language
SAS,https://www.sas.com,Programming Language
Scala,https://www.scala-lang.org/,Programming Language
Scheme,https://www.scheme.org/,Programming Language
Scilab,https://www.scilab.org,Programming Language
Scratch,https://scratch.mit.edu/,Programming Language
ScratchJr,http://www.scratchjr.org,Programming Language
Seed7,https://seed7.sourceforge.net/,Programming Language
Self,http://www.selflanguage.org,Programming Language
SenseTalk,https://www.sensetalk.com/,Programming Language
SETL,http://setl.org,Programming Language
SiMPLE,http://www.simplecodeworks.com/website.html,Programming Language
Simula,http://www.simula67.info,Programming Language
SML,https://smlfamily.github.io/,Programming Language
Snap!,http://snap.berkeley.edu,Programming Language
Snowball,http://snowballstem.org,Programming Language
Solidity,http://soliditylang.org,Programming Language
Source,http://docs.sourceacademy.org,Programming Language
Squeak,http://www.squeak.org,Programming Language
Squirrel,http://squirrel-lang.org/,Programming Language
Stata,https://www.stata.com/,Programming Language
Strongtalk,http://www.strongtalk.org,Programming Language
Subtext,http://subtextual.org/,Programming Language
SuperCollider,http://supercollider.github.io,Programming Language
Swift (Apple programming language),https://www.swift.org/,Programming Language
Swift (parallel scripting language),http://swift-lang.org,Programming Language
TADS (Text Adventure Development System),http://www.tads.org,Programming Language
tcl (aka tcl/tk ),https://www.tcl-lang.org,Programming Language
TempleOS,http://templeos.org/,Programming Language
Tom,http://tom.loria.fr,Programming Language
Transcript (LiveCode),http://livecode.org,Programming Language
TXL,https://www.txl.ca/,Programming Language
Tynker,https://www.tynker.com/,Programming Language
TypeScript,https://www.typescriptlang.org/,Programming Language
Ubercode,http://www.ubercode.com,Programming Language
Umple,https://www.umple.org/,Programming Language
Unicon,https://unicon.sourceforge.net/,Programming Language
Vala,https://vala.dev,Programming Language
Vim script,https://www.vim.org/,Programming Language
Viper (Ethereum/Ether (ETH)),http://ethereum.org,Programming Language
Visual DialogScript,http://www.dialogscript.com/,Programming Language
Visual Prolog,https://www.visual-prolog.com/,Programming Language
WebAssembly,https://webassembly.org/,Programming Language
Whiley,http://whiley.org,Programming Language
Wolfram Language,https://www.wolfram.com/language/,Programming Language
Wyvern,https://wyvernlang.github.io,Programming Language
X++ (X plus plus/Microsoft Dynamics AX),https://www.microsoft.com/en-us/dynamics-365,Programming Language
X10,http://x10-lang.org,Programming Language
XMOS architecture,http://www.xmos.com/,Programming Language
Xod,http://xod.io,Programming Language
Xojo,https://xojo.com/,Programming Language
XPL0,http://www.xpl0.org,Programming Language
XSB,http://xsb.sf.net,Programming Language
Zig,https://ziglang.org/,Programming Language
Zonnon,https://zonnon.org/,Programming Language
Airbnb,https://www.airbnb.com/,Startup
Canva,https://www.canva.com/,Startup
Coinbase,https://www.coinbase.com/,Startup
Databricks,https://databricks.com/,Startup
DoorDash,https://www.doordash.com/,Startup
Instacart,https://www.instacart.com/,Startup
Notion,https://www.notion.so/,Startup
OpenAI,https://www.openai.com/,Startup
Robinhood,https://robinhood.com/,Startup
Snowflake,https://www.snowflake.com/,Startup
Stripe,https://stripe.com/,Startup
UiPath,https://www.uipath.com/,Startup
24SevenOffice,http://24sevenoffice.com,Tool
Ability Office,http://www.ability.com,Tool
Acme,http://acme.cat-v.org,Tool
ActiveState,http://activestate.com/,Tool
Adobe,https://www.adobe.com/,Tool
Adobe Animate,http://adobe.com/products/animate.html,Tool
Adobe Business Catalyst,http://businesscatalyst.com,Tool
Adobe Dreamweaver,https://www.adobe.com/products/dreamweaver.html,Tool
Adobe Experience Manager,https://www.adobe.com/experience-cloud.html,Tool
